epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,75801.6,1.02149,0.69263,0.99214,0.67074,0.4002,0.43549,0.28232,0.93213,0.58342,0.96793,0.008614,0.008614,0.008614
44,77576.5,1.02102,0.69314,0.99146,0.66831,0.3997,0.43698,0.28349,0.93111,0.58188,0.96741,0.008581,0.008581,0.008581
45,79349.3,1.02088,0.69073,0.99141,0.66592,0.40145,0.43802,0.28403,0.93035,0.58049,0.96718,0.008548,0.008548,0.008548
46,81123.1,1.02219,0.69015,0.99133,0.66964,0.40066,0.43929,0.28491,0.92938,0.57909,0.96677,0.008515,0.008515,0.008515
47,82897.3,1.01816,0.68774,0.99099,0.66766,0.40435,0.44055,0.286,0.92839,0.57776,0.96648,0.008482,0.008482,0.008482
48,84654.3,1.01756,0.68716,0.98981,0.66734,0.40838,0.44143,0.28669,0.92761,0.57676,0.96619,0.008449,0.008449,0.008449
49,86430,1.01669,0.68542,0.98991,0.66579,0.41156,0.44253,0.28729,0.92673,0.57591,0.96582,0.008416,0.008416,0.008416
50,88196.9,1.01487,0.68519,0.98929,0.66621,0.40865,0.44389,0.28808,0.92603,0.57509,0.96539,0.008383,0.008383,0.008383
51,89970.4,1.01649,0.68433,0.98949,0.65896,0.40946,0.44489,0.28875,0.92527,0.57419,0.96502,0.00835,0.00835,0.00835
52,91746.1,1.01393,0.68105,0.98807,0.66221,0.41468,0.44697,0.29013,0.92455,0.57322,0.96471,0.008317,0.008317,0.008317
53,93519,1.01144,0.67949,0.98695,0.66589,0.41226,0.44725,0.29074,0.92371,0.57214,0.96432,0.008284,0.008284,0.008284
54,95285.7,1.01237,0.67889,0.98843,0.6594,0.41783,0.44807,0.29113,0.92289,0.57107,0.96391,0.008251,0.008251,0.008251
55,97057.8,1.01103,0.67825,0.98737,0.67375,0.4208,0.44824,0.29116,0.92222,0.57017,0.96357,0.008218,0.008218,0.008218
56,98820,1.01025,0.6786,0.9883,0.67521,0.42159,0.44965,0.29224,0.92164,0.56946,0.9634,0.008185,0.008185,0.008185
57,100588,1.0091,0.67623,0.98718,0.72537,0.41976,0.45009,0.29254,0.92097,0.56857,0.96323,0.008152,0.008152,0.008152
58,102354,1.00831,0.67664,0.98733,0.72024,0.4193,0.45107,0.29294,0.92045,0.56794,0.96307,0.008119,0.008119,0.008119
59,104113,1.00736,0.67381,0.98401,0.71356,0.41978,0.45139,0.29352,0.91967,0.56742,0.96264,0.008086,0.008086,0.008086
60,105878,1.00811,0.67567,0.98547,0.70744,0.42234,0.45186,0.29412,0.91917,0.56678,0.96237,0.008053,0.008053,0.008053
61,107646,1.00787,0.67516,0.98571,0.71461,0.42537,0.45298,0.29455,0.91857,0.56579,0.96209,0.00802,0.00802,0.00802
62,109398,1.00439,0.67076,0.98418,0.7227,0.42351,0.45346,0.29567,0.91809,0.5649,0.96199,0.007987,0.007987,0.007987
63,111171,1.00419,0.6716,0.98255,0.72887,0.42097,0.4539,0.29615,0.91747,0.56423,0.96161,0.007954,0.007954,0.007954
64,112930,1.00287,0.6703,0.9835,0.7315,0.41857,0.45447,0.29672,0.91713,0.56348,0.96132,0.007921,0.007921,0.007921
65,114699,1.00144,0.66829,0.98281,0.67134,0.43795,0.45545,0.29772,0.91654,0.56295,0.961,0.007888,0.007888,0.007888
66,116460,1.00164,0.66811,0.98298,0.67911,0.43923,0.45718,0.29898,0.91598,0.56219,0.96082,0.007855,0.007855,0.007855
67,118234,1.00112,0.66671,0.98222,0.69374,0.43264,0.45792,0.29971,0.9157,0.56168,0.96075,0.007822,0.007822,0.007822
68,120004,1.00144,0.66687,0.98267,0.7013,0.43402,0.45897,0.30052,0.91554,0.56123,0.96063,0.007789,0.007789,0.007789
69,121773,0.9979,0.66534,0.98126,0.71083,0.43075,0.45963,0.3007,0.91522,0.5605,0.96046,0.007756,0.007756,0.007756
70,123542,1.00042,0.66616,0.98162,0.70837,0.43021,0.46018,0.30148,0.91475,0.56014,0.96036,0.007723,0.007723,0.007723
71,125312,0.99926,0.66419,0.98156,0.7156,0.42821,0.46018,0.3017,0.9145,0.55955,0.96027,0.00769,0.00769,0.00769
72,127067,0.99698,0.66453,0.9802,0.70745,0.43243,0.46026,0.30163,0.91405,0.55892,0.9602,0.007657,0.007657,0.007657
73,128822,0.99656,0.66081,0.97925,0.71984,0.42362,0.46038,0.3018,0.91355,0.55817,0.96001,0.007624,0.007624,0.007624
74,130584,0.99395,0.66127,0.97866,0.7183,0.4259,0.46097,0.30248,0.91311,0.55779,0.9596,0.007591,0.007591,0.007591
75,132343,0.99678,0.66105,0.97987,0.70597,0.42943,0.46189,0.30305,0.91275,0.55745,0.95944,0.007558,0.007558,0.007558
76,134112,0.99609,0.65964,0.97985,0.71001,0.42985,0.46323,0.30358,0.9125,0.55686,0.9593,0.007525,0.007525,0.007525
77,135884,0.99445,0.65887,0.98007,0.71124,0.42945,0.46421,0.3043,0.91235,0.55635,0.95935,0.007492,0.007492,0.007492
78,137649,0.9935,0.65737,0.97928,0.71225,0.42962,0.46461,0.30488,0.91209,0.55588,0.95926,0.007459,0.007459,0.007459
79,139423,0.99237,0.65738,0.97825,0.70984,0.43352,0.46484,0.30506,0.91186,0.55549,0.95912,0.007426,0.007426,0.007426
80,141192,0.99127,0.65499,0.97766,0.72125,0.42894,0.46556,0.3054,0.91145,0.55517,0.95905,0.007393,0.007393,0.007393
81,142964,0.99138,0.65429,0.97755,0.70751,0.43497,0.46504,0.3055,0.91127,0.55476,0.95894,0.00736,0.00736,0.00736
82,144732,0.98994,0.65132,0.97721,0.71082,0.43215,0.46621,0.30552,0.91116,0.55435,0.95897,0.007327,0.007327,0.007327
83,146493,0.99135,0.65483,0.97657,0.70557,0.43619,0.46664,0.30596,0.91071,0.55412,0.95876,0.007294,0.007294,0.007294
84,148256,0.98808,0.6522,0.97647,0.69468,0.44322,0.4675,0.30643,0.91026,0.55365,0.95856,0.007261,0.007261,0.007261
85,150026,0.9888,0.65371,0.97735,0.70799,0.43641,0.46864,0.3073,0.90987,0.55324,0.95827,0.007228,0.007228,0.007228
86,151802,0.98792,0.65065,0.97647,0.70922,0.43524,0.4683,0.30719,0.90951,0.55296,0.95836,0.007195,0.007195,0.007195
87,153549,0.9872,0.65024,0.9766,0.70757,0.43535,0.46852,0.30718,0.90929,0.55254,0.95827,0.007162,0.007162,0.007162
88,155306,0.98671,0.64971,0.97706,0.69823,0.44277,0.46892,0.30776,0.90895,0.55222,0.95813,0.007129,0.007129,0.007129
89,157074,0.98595,0.64956,0.97554,0.69829,0.44887,0.46965,0.30851,0.90849,0.55167,0.958,0.007096,0.007096,0.007096
90,158840,0.98642,0.64967,0.97703,0.69775,0.44635,0.47058,0.30917,0.90804,0.55124,0.95785,0.007063,0.007063,0.007063
91,160615,0.98558,0.64825,0.97566,0.70262,0.44561,0.4715,0.30942,0.90758,0.55077,0.95754,0.00703,0.00703,0.00703
92,162385,0.98451,0.64754,0.97553,0.70018,0.44649,0.47188,0.30959,0.90746,0.55032,0.9575,0.006997,0.006997,0.006997
93,164156,0.98305,0.6466,0.97488,0.70066,0.44733,0.47255,0.3102,0.90734,0.55008,0.95744,0.006964,0.006964,0.006964
94,165931,0.98292,0.64478,0.97459,0.64242,0.45586,0.47302,0.31061,0.90703,0.54982,0.95739,0.006931,0.006931,0.006931
95,167699,0.98217,0.64444,0.97505,0.65686,0.45361,0.47361,0.31092,0.90667,0.54961,0.9573,0.006898,0.006898,0.006898
96,169473,0.97858,0.64284,0.97373,0.65715,0.45262,0.47339,0.31135,0.90647,0.54929,0.95716,0.006865,0.006865,0.006865
97,171247,0.98199,0.64354,0.9746,0.66484,0.45045,0.47427,0.3121,0.90628,0.54901,0.95704,0.006832,0.006832,0.006832
98,173019,0.97853,0.6409,0.97345,0.67345,0.44768,0.47511,0.31278,0.90581,0.54864,0.95677,0.006799,0.006799,0.006799
99,174786,0.98133,0.64291,0.97332,0.71107,0.44721,0.47543,0.31251,0.90545,0.54835,0.95655,0.006766,0.006766,0.006766
100,176542,0.9783,0.64007,0.97218,0.71434,0.44643,0.47517,0.31277,0.90525,0.54791,0.95635,0.006733,0.006733,0.006733
101,178295,0.97649,0.63847,0.97107,0.71612,0.44749,0.4759,0.31373,0.90493,0.54769,0.95619,0.0067,0.0067,0.0067
102,180066,0.97883,0.64195,0.97249,0.71573,0.45016,0.47671,0.31405,0.90474,0.54725,0.95607,0.006667,0.006667,0.006667
103,181835,0.97706,0.63923,0.97128,0.70322,0.45656,0.47705,0.31396,0.90454,0.54679,0.95601,0.006634,0.006634,0.006634
104,183590,0.97644,0.63838,0.97087,0.71092,0.45443,0.47755,0.31425,0.90448,0.54664,0.95589,0.006601,0.006601,0.006601
105,185358,0.97571,0.63668,0.97167,0.70928,0.45542,0.47774,0.31465,0.90418,0.54623,0.95569,0.006568,0.006568,0.006568
106,187133,0.9742,0.63618,0.97,0.71548,0.453,0.47817,0.31494,0.90369,0.54584,0.95545,0.006535,0.006535,0.006535
107,188908,0.97541,0.6358,0.96876,0.72471,0.44782,0.4782,0.31545,0.90345,0.54547,0.95514,0.006502,0.006502,0.006502
108,190683,0.97371,0.63436,0.97127,0.72625,0.44772,0.47915,0.31625,0.90314,0.54516,0.95504,0.006469,0.006469,0.006469
109,192450,0.97298,0.63376,0.96895,0.71447,0.45373,0.47938,0.31621,0.90282,0.54468,0.95495,0.006436,0.006436,0.006436
110,194204,0.97408,0.63378,0.96872,0.70223,0.45789,0.47962,0.31669,0.90231,0.54441,0.95457,0.006403,0.006403,0.006403
111,195973,0.97225,0.63234,0.96901,0.70534,0.45735,0.47986,0.31703,0.90196,0.54392,0.95442,0.00637,0.00637,0.00637
112,197748,0.97068,0.63187,0.96889,0.7034,0.46124,0.48047,0.31677,0.9019,0.54354,0.95438,0.006337,0.006337,0.006337
