epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9086.73,0.80959,0.46997,0.97907,0.89639,0.87555,0.92253,0.6556,0.92314,0.49078,1.00924,0.005842,0.005842,0.005842
44,9293.29,0.80446,0.47012,0.97593,0.89074,0.88149,0.92453,0.66973,0.91884,0.49389,1.00777,0.005743,0.005743,0.005743
45,9501.81,0.8,0.46325,0.97438,0.86771,0.87576,0.9223,0.65745,0.92095,0.48822,1.01223,0.005644,0.005644,0.005644
46,9704.63,0.79751,0.46096,0.97173,0.88202,0.87218,0.92498,0.66336,0.9218,0.49549,1.01187,0.005545,0.005545,0.005545
47,9908.05,0.79488,0.45867,0.9707,0.87729,0.87601,0.92778,0.67288,0.92239,0.4909,1.01314,0.005446,0.005446,0.005446
48,10128.2,0.78365,0.45055,0.96738,0.88188,0.87824,0.92487,0.67377,0.91721,0.48919,1.01188,0.005347,0.005347,0.005347
49,10343,0.77936,0.44694,0.96291,0.90047,0.87331,0.93002,0.67577,0.90786,0.48535,1.00975,0.005248,0.005248,0.005248
50,10553.9,0.77306,0.44261,0.96289,0.88869,0.87684,0.92164,0.66546,0.90577,0.4841,1.01078,0.005149,0.005149,0.005149
51,10756.3,0.76768,0.43994,0.96073,0.89495,0.86595,0.92596,0.67473,0.90708,0.48273,1.00729,0.00505,0.00505,0.00505
52,10961.4,0.76647,0.4409,0.95826,0.89517,0.87147,0.92565,0.66737,0.90183,0.47728,1.00503,0.004951,0.004951,0.004951
53,11168,0.75686,0.43527,0.95329,0.8744,0.89045,0.92646,0.67385,0.89558,0.47653,1.00261,0.004852,0.004852,0.004852
54,11374.8,0.75412,0.4331,0.95161,0.87018,0.89817,0.92865,0.67651,0.89676,0.47768,1.00653,0.004753,0.004753,0.004753
55,11596.5,0.74913,0.428,0.95003,0.88764,0.89024,0.92885,0.68034,0.89526,0.47558,1.00605,0.004654,0.004654,0.004654
56,11812.1,0.75066,0.42978,0.95112,0.87814,0.88962,0.93029,0.68814,0.89327,0.47677,1.00563,0.004555,0.004555,0.004555
57,12019.5,0.74411,0.42366,0.94734,0.88959,0.87725,0.93404,0.68358,0.89774,0.47462,1.00498,0.004456,0.004456,0.004456
58,12221.9,0.73497,0.41812,0.9476,0.88513,0.88884,0.93159,0.68582,0.89061,0.46933,1.00329,0.004357,0.004357,0.004357
59,12428.8,0.73207,0.41507,0.94505,0.88357,0.88689,0.93194,0.68722,0.88777,0.47107,1.00626,0.004258,0.004258,0.004258
60,12634.7,0.72302,0.41117,0.94395,0.89424,0.88458,0.93425,0.69073,0.88598,0.46863,1.00322,0.004159,0.004159,0.004159
61,12852.9,0.72264,0.40979,0.9406,0.88659,0.88967,0.93372,0.69191,0.88545,0.4696,1.00325,0.00406,0.00406,0.00406
62,13060.1,0.71887,0.40949,0.939,0.89772,0.8873,0.93747,0.69473,0.88411,0.46805,1.00099,0.003961,0.003961,0.003961
63,13274.6,0.71766,0.40522,0.935,0.87597,0.90024,0.93374,0.69331,0.88263,0.46686,1.00249,0.003862,0.003862,0.003862
64,13476.9,0.70481,0.40242,0.93253,0.89713,0.87986,0.93055,0.68867,0.87665,0.46684,0.99913,0.003763,0.003763,0.003763
65,13679.9,0.70405,0.39906,0.93098,0.89876,0.8939,0.93401,0.69418,0.87705,0.46775,0.99941,0.003664,0.003664,0.003664
66,13883,0.70167,0.40133,0.93165,0.88123,0.89956,0.93623,0.69573,0.87823,0.46521,1.00065,0.003565,0.003565,0.003565
67,14091.2,0.69985,0.39542,0.93024,0.89588,0.88829,0.93838,0.70464,0.8745,0.46501,1.0015,0.003466,0.003466,0.003466
